Score: 2120, reachedLevel: 1
Score: 1380, reachedLevel: 0
Score: 1560, reachedLevel: 1
Score: 0, reachedLevel: 0
Score: 1500, reachedLevel: 1
Score: 0, reachedLevel: 0
Score: 6080, reachedLevel: 2
Score: 0, reachedLevel: 0
Score: 0, reachedLevel: 0
Score: 940, reachedLevel: 1
Score: 2520, reachedLevel: 1
Score: 80, reachedLevel: 0
Score: 3940, reachedLevel: 2
Score: 140, reachedLevel: 0
Score: 0, reachedLevel: 0
Score: 1040, reachedLevel: 1
Score: 3180, reachedLevel: 2
Score: 0, reachedLevel: 0
Score: 120, reachedLevel: 0
Score: 1540, reachedLevel: 0
Score: 2820, reachedLevel: 1
Score: 1440, reachedLevel: 2
Score: 1560, reachedLevel: 1
Score: 0, reachedLevel: 0
Score: 1420, reachedLevel: 2
Score: 300, reachedLevel: 0
Score: 780, reachedLevel: 1
Score: 80, reachedLevel: 0
Score: 3980, reachedLevel: 1
Score: 1680, reachedLevel: 2
Score: 600, reachedLevel: 1
Score: 1680, reachedLevel: 1
Score: 0, reachedLevel: 0
Score: 1480, reachedLevel: 1, while surviving for 166 seconds.
Score: 6980, reachedLevel: 3, while surviving for 227 seconds.
Score: 0, reachedLevel: 0, while surviving for 2 seconds.
Score: 2240, reachedLevel: 2, while surviving for 165 seconds.
Score: 0, reachedLevel: 0, while surviving for 11 seconds.
Score: 120, reachedLevel: 0, while surviving for 51 seconds.
Score: 4380, reachedLevel: 3, while surviving for 238 seconds.
Score: 1900, reachedLevel: 1, while surviving for 158 seconds.
Score: 1480, reachedLevel: 1, while surviving for 111 seconds.
Score: 360, reachedLevel: 0, while surviving for 131 seconds.
Score: 2000, reachedLevel: 1, while surviving for 180 seconds.
Score: 280, reachedLevel: 0, while surviving for 138 seconds.
Score: 6280, reachedLevel: 2, while surviving for 226 seconds.
Score: 780, reachedLevel: 1, while surviving for 152 seconds.
Score: 700, reachedLevel: 1, while surviving for 132 seconds.
Score: 1400, reachedLevel: 2, while surviving for 150 seconds.
Score: 5540, reachedLevel: 4, while surviving for 267 seconds.
Score: 2320, reachedLevel: 2, while surviving for 206 seconds.
Score: 0, reachedLevel: 0, while surviving for 8 seconds.
Score: 880, reachedLevel: 1, while surviving for 152 seconds.
Score: 240, reachedLevel: 0, while surviving for 91 seconds.
Score: 1320, reachedLevel: 0, while surviving for 114 seconds.
Score: 3260, reachedLevel: 2, while surviving for 179 seconds.
Score: 1800, reachedLevel: 2, while surviving for 196 seconds.
Score: 5100, reachedLevel: 3, while surviving for 245 seconds.
Score: 1540, reachedLevel: 2, while surviving for 189 seconds.
Score: 280, reachedLevel: 0, while surviving for 99 seconds.
Score: 1680, reachedLevel: 1, while surviving for 96 seconds.
Score: 80, reachedLevel: 0, while surviving for 66 seconds.
Score: 1920, reachedLevel: 2, while surviving for 141 seconds.
Score: 1320, reachedLevel: 2, while surviving for 159 seconds.
Score: 1660, reachedLevel: 1, while surviving for 90 seconds.
Score: 0, reachedLevel: 0, while surviving for 16 seconds.
Score: 0, reachedLevel: 0, while surviving for 5 seconds.
Score: 6720, reachedLevel: 2, while surviving for 133 seconds.
Score: 1920, reachedLevel: 2, while surviving for 161 seconds.
Score: 40, reachedLevel: 0, while surviving for 17 seconds.
Score: 0, reachedLevel: 0, while surviving for 12 seconds.
Score: 0, reachedLevel: 0, while surviving for 14 seconds.
Score: 320, reachedLevel: 0, while surviving for 104 seconds.
Score: 560, reachedLevel: 1, while surviving for 101 seconds.
Score: 0, reachedLevel: 0, while surviving for 6 seconds.
Score: 13000, reachedLevel: 3, while surviving for 230 seconds.
Score: 0, reachedLevel: 0, while surviving for 12 seconds.
Score: 1260, reachedLevel: 1, while surviving for 160 seconds.
Score: 0, reachedLevel: 0, while surviving for 40 seconds.
Score: 1720, reachedLevel: 1, while surviving for 130 seconds.
Score: 1500, reachedLevel: 1, while surviving for 104 seconds.
Score: 0, reachedLevel: 0, while surviving for 9 seconds.
Score: 6180, reachedLevel: 3, while surviving for 228 seconds.
Score: 300, reachedLevel: 0, while surviving for 64 seconds.
